Cidades,Arroz_2011,Arroz_2012,Arroz_2013,Arroz_2014,Arroz_2015,Arroz_2016,Arroz_2017,Arroz_2018,Arroz_2019,Arroz_2020
Peri Mirim,305,303,300,305,236,223,112,37,34,30
Peritoró,1906,1754,1403,1260,1070,980,950,860,620,610
0,660,398,466,439,348,348,313,300,81,76
Pinheiro,1564,1566,1569,1412,959,863,432,102,99,81
Pio XII,1135,1130,1062,1100,1155,660,300,315,310,250
Pirapemas,4077,4118,4148,4140,1200,1000,1020,1025,645,642
Poção de Pedras,4244,3607,3610,3618,1996,969,852,655,635,637
Porto Franco,360,285,299,187,50,25,15,25,24,23
Porto Rico do Maranhão,36,37,36,37,30,23,12,5,6,5
Presidente Dutra,2545,1250,2125,2400,450,405,300,250,215,216
Presidente Juscelino,75,80,92,100,75,80,15,12,5,6
Presidente Médici,200,176,165,220,104,100,100,80,45,41
Presidente Sarney,1267,1261,1258,1132,769,346,154,57,61,58
Presidente Vargas,903,930,957,955,800,770,775,782,306,304
Primeira Cruz,8,10,11,11,10,11,6,4,3,4
Raposa,0,0,0,0,0,0,0,0,0,0
Riachão,1958,1924,1423,1138,1081,525,713,1113,1995,1630
Ribamar Fiquene,484,55,60,50,16,15,13,16,32,31
Rosário,1026,1150,1265,1265,138,128,100,40,8,9
Sambaíba,911,877,657,1125,1080,713,665,665,615,600
Santa Filomena do Maranhão,2045,1738,1730,1600,1650,200,150,165,168,150
Santa Helena,1735,1730,1735,1597,425,403,202,93,97,92
Santa Inês,710,580,590,583,575,465,397,367,115,97
Santa Luzia,15200,13000,11950,10520,4124,3853,3622,3359,1500,1329
Santa Luzia do Paruá,1545,1410,1340,1210,249,150,150,50,40,30
Santa Quitéria do Maranhão,1650,990,1710,1820,190,150,120,130,124,114
Santa Rita,406,450,495,495,500,490,393,50,9,8
Santana do Maranhão,500,55,0,0,0,0,0,0,0,0
Santo Amaro do Maranhão,20,25,30,30,20,14,15,5,3,2
Santo Antônio dos Lopes,1822,1817,1820,1829,879,655,592,528,674,655
São Benedito do Rio Preto,2500,2000,1800,1850,1500,850,650,700,280,260
São Bento,1758,1755,1751,1585,526,489,293,180,184,147
São Bernardo,1000,360,1120,1150,30,25,20,25,22,25
São Domingos do Azeitão,2545,2565,2786,2930,2100,1128,2750,1000,671,650
São Domingos do Maranhão,6810,5789,4060,4500,2400,500,450,600,280,260
São Félix de Balsas,740,850,865,900,854,875,1133,552,555,545
São Francisco do Brejão,170,160,155,150,50,15,14,9,8,7
São Francisco do Maranhão,3100,2950,3230,3340,2910,2430,1930,1500,548,374
São João Batista,177,197,201,183,188,150,120,100,30,25
São João do Carú,7022,6700,6030,4900,1368,900,715,621,215,181
São João do Paraíso,915,327,297,190,125,25,203,138,64,75
São João do Soter,2941,2735,2188,1970,1424,1280,1200,1140,750,730
São João dos Patos,2450,2705,2868,3020,2596,2280,3100,850,744,653
São José de Ribamar,0,0,0,0,0,0,0,0,0,0
São José dos Basílios,2365,2129,1597,1720,745,693,762,770,792,710
São Luís,5,5,5,6,5,4,4,19,6,4
São Luís Gonzaga do Maranhão,3880,4010,3810,3850,3435,900,1000,900,845,882
São Mateus do Maranhão,3650,3700,3996,3800,3216,5000,9300,9000,5005,5947
São Pedro da Água Branca,109,45,98,100,40,26,67,72,165,169
São Pedro dos Crentes,1243,1143,1003,852,680,476,497,160,288,276
São Raimundo das Mangabeiras,1285,1252,1226,980,951,627,235,665,405,412
São Raimundo do Doca Bezerra,2038,1834,1837,1844,835,601,549,425,405,407
São Roberto,1533,1073,1075,1086,654,501,458,210,195,193
São Vicente Ferrer,1025,1032,829,746,706,356,276,290,205,220
Satubinha,858,900,864,890,935,550,300,150,90,80
Senador Alexandre Costa,2713,2170,2170,1953,1920,1100,1386,1455,1500,1410
Senador La Rocque,675,121,95,80,18,11,12,14,9,7
Serrano do Maranhão,165,148,133,40,30,20,20,8,10,8
Sítio Novo,1400,1380,1242,1304,1370,1400,1470,1490,850,860
Sucupira do Norte,2510,2650,2900,3015,2935,2180,2855,522,371,335
Sucupira do Riachão,1200,1250,1370,1410,1380,1110,1460,350,166,147
Tasso Fragoso,2325,1540,1141,912,866,571,214,214,195,190
Timbiras,4123,3793,3034,2680,2410,2170,2050,1850,1290,1300
Timon,3300,3200,3040,2736,2359,2123,2200,2250,961,920
Trizidela do Vale,611,900,903,912,595,433,404,225,213,217
