Cidades;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
São João do Soter ;21;69.0;29.0;36.0;118.0;72.0;75.0;75.0;65.0;108
São João dos Patos ;97;250.0;73.0;152.0;136.0;100.0;144.0;138.0;72.0;84
São José de Ribamar ;2;4.0;;1.0;2.0;1.0;;4.0;5.0;-
São José dos Basílios ;31;17.0;23.0;25.0;32.0;20.0;7.0;;;6
São Luís ;7;10.0;70.0;13.0;16.0;10.0;8.0;;1.0;6
São Luís Gonzaga do Maranhão ;38;25.0;14.0;32.0;32.0;24.0;28.0;17.0;2.0;29
São Mateus do Maranhão ;74;52.0;233.0;64.0;52.0;57.0;58.0;27.0;16.0;22
São Pedro da Água Branca ;28;30.0;23.0;20.0;26.0;20.0;33.0;21.0;9.0;15
São Pedro dos Crentes ;52;80.0;160.0;52.0;58.0;49.0;26.0;29.0;18.0;17
São Raimundo das Mangabeiras ;269;545.0;72.0;361.0;374.0;189.0;336.0;205.0;202.0;199
São Raimundo do Doca Bezerra ;78;63.0;127.0;106.0;70.0;41.0;29.0;44.0;10.0;12
São Roberto ;18;25.0;26.0;40.0;26.0;18.0;20.0;19.0;17.0;7
São Vicente Ferrer ;26;22.0;34.0;17.0;32.0;28.0;36.0;17.0;17.0;22
Satubinha ;9;10.0;7.0;11.0;29.0;17.0;16.0;4.0;1.0;9
Senador Alexandre Costa ;12;33.0;14.0;15.0;19.0;28.0;17.0;4.0;;8
Senador La Rocque ;8;22.0;12.0;6.0;26.0;20.0;12.0;4.0;19.0;19
Serrano do Maranhão ;48;55.0;53.0;35.0;46.0;45.0;51.0;17.0;48.0;31
Sítio Novo ;156;247.0;160.0;210.0;226.0;109.0;164.0;93.0;47.0;100
Sucupira do Norte ;106;230.0;72.0;139.0;126.0;135.0;195.0;120.0;70.0;105
Sucupira do Riachão ;38;126.0;24.0;65.0;87.0;68.0;43.0;75.0;70.0;42
Tasso Fragoso ;251;450.0;169.0;178.0;290.0;172.0;136.0;117.0;172.0;143
Timbiras ;154;65.0;77.0;82.0;96.0;55.0;62.0;61.0;20.0;62
Timon ;31;240.0;40.0;83.0;92.0;214.0;89.0;72.0;30.0;112
Trizidela do Vale ;9;6.0;9.0;4.0;12.0;5.0;8.0;3.0;1.0;11
Tufilândia ;2;13.0;7.0;9.0;23.0;5.0;4.0;3.0;3.0;7
Tuntum ;137;548.0;202.0;286.0;473.0;160.0;367.0;103.0;209.0;176
Turiaçu ;176;150.0;128.0;160.0;161.0;111.0;142.0;40.0;26.0;109
Turilândia ;92;54.0;59.0;82.0;95.0;56.0;70.0;25.0;2.0;48
Tutóia ;116;138.0;178.0;160.0;139.0;154.0;224.0;184.0;99.0;191
Urbano Santos ;217;288.0;294.0;225.0;227.0;291.0;322.0;207.0;203.0;239
Vargem Grande ;178;99.0;100.0;91.0;51.0;65.0;59.0;20.0;26.0;55
Viana ;75;74.0;44.0;55.0;22.0;51.0;51.0;30.0;23.0;37
Vila Nova dos Martírios ;24;18.0;20.0;39.0;59.0;26.0;46.0;22.0;11.0;25
Vitória do Mearim ;69;85.0;36.0;34.0;92.0;60.0;58.0;22.0;53.0;51
Vitorino Freire ;26;34.0;29.0;26.0;34.0;16.0;37.0;14.0;10.0;33
Zé Doca;164;120.0;87.0;87.0;166.0;49.0;115.0;33.0;15.0;70
