Cidades,CanaDeAcucar_2011,CanaDeAcucar_2012,CanaDeAcucar_2013,CanaDeAcucar_2014,CanaDeAcucar_2015,CanaDeAcucar_2016,CanaDeAcucar_2017,CanaDeAcucar_2018,CanaDeAcucar_2019,CanaDeAcucar_2020
Tufilândia,0,0,0,0,0,0,0,0,0,0
Tuntum,480,1030,1000,850,800,600,720,750,750,685
Turiaçu,0,0,0,0,0,0,0,0,0,0
Turilândia,0,0,0,0,0,0,0,0,0,0
Tutóia,0,0,0,0,0,0,0,0,0,0
Urbano Santos,16,20,22,25,28,22,23,20,16,14
Vargem Grande,3,7,7,7,6,6,7,5,4,3
Viana,0,0,0,0,0,0,0,0,0,0
Vila Nova dos Martírios,0,0,0,0,0,0,0,0,0,0
Vitória do Mearim,2,0,0,0,0,0,0,0,0,0
Vitorino Freire,0,0,0,0,0,0,0,0,0,0
Zé Doca,0,0,0,0,0,0,0,0,0,0
